source_row,source_kind,work_name,zone_code,zone_name,source_label,activity_name,source_resolution_status,normalization_note,mapping_status,match_level,mapping_note,timing_status,start_day,finish_day,elapsed_span_days,duration_basis,timing_basis,baseline_version,baseline_commit_sha,source_register_commit_sha,matched_activity_count,matched_activity_ids,critical_exposure,critical_exposure_note,network_basis
"14","PHYSICAL_SCOPE","งานโครงสร้าง","B","โซนพักค้างคืน 1 (zone B)","งานครุภัณฑ์จัดจ้างหรือสั่งทำ","งานครุภัณฑ์จัดจ้างหรือสั่งทำ","CLEAN","","CONFIRMED","ZONE_EQUIPMENT_SCOPE_MATCH","รายการ Excel เป็นงานครุภัณฑ์ระดับโซน จึงจับคู่เฉพาะกิจกรรมครุภัณฑ์/อุปกรณ์ในโซน ไม่ใช้ช่วงรวมของหมวดงานอื่น","MAPPED_ELAPSED_SPAN","693","871","179","ELAPSED_SPAN_NOT_WORK_EFFORT","DERIVED_FROM_PINNED_BASELINE","v0.8.2","fef660d14ae8ddecda66af3980cee939ac72c84d","1405af254e0ffb590455de45170cbcf25d38790c","4","P01-B32-FURN;P01-B31-FURN;P01-B33-FURN;P01-B34-FURN","NONE","ไม่พบกิจกรรมรายละเอียดที่อ้างอิงซึ่งมี Total Float = 0","SUMMARY_VIEW_NO_INDEPENDENT_CPM_NETWORK"
"16","PHYSICAL_SCOPE","งานโครงสร้าง","C","โซนพักค้างคืน 2 (zone C)","โซนพื้นที่ต้อนรับ","โซนพื้นที่ต้อนรับ","CLEAN","","CONFIRMED","AREA_AND_WORK_EXACT","จับคู่โซนย่อยและหมวดงานกับกิจกรรมรายละเอียดใน Baseline","MAPPED_ELAPSED_SPAN","520","680","161","ELAPSED_SPAN_NOT_WORK_EFFORT","DERIVED_FROM_PINNED_BASELINE","v0.8.2","fef660d14ae8ddecda66af3980cee939ac72c84d","1405af254e0ffb590455de45170cbcf25d38790c","11","P01-C41-REL;P01-C41-SUR;P01-C41-EXC;P01-C41-BLI;P01-C41-RBF;P01-C41-FMF;P01-C41-HOLD;P01-C41-FND;P01-C41-GB;P01-C41-FRM;P01-C41-ROOF","NONE","ไม่พบกิจกรรมรายละเอียดที่อ้างอิงซึ่งมี Total Float = 0","SUMMARY_VIEW_NO_INDEPENDENT_CPM_NETWORK"
"17","PHYSICAL_SCOPE","งานโครงสร้าง","C","โซนพักค้างคืน 2 (zone C)","โซนพื้นที่บ้านเต็นท์","โซนพื้นที่บ้านเต็นท์","CLEAN","","CONFIRMED","AREA_AND_WORK_EXACT","จับคู่โซนย่อยและหมวดงานกับกิจกรรมรายละเอียดใน Baseline","MAPPED_ELAPSED_SPAN","520","768","249","ELAPSED_SPAN_NOT_WORK_EFFORT","DERIVED_FROM_PINNED_BASELINE","v0.8.2","fef660d14ae8ddecda66af3980cee939ac72c84d","1405af254e0ffb590455de45170cbcf25d38790c","33","P01-C42A-REL;P01-C42A-SUR;P01-C42A-EXC;P01-C42A-BLI;P01-C42A-RBF;P01-C42A-FMF;P01-C42B-REL;P01-C42B-SUR;P01-C42A-HOLD;P01-C42A-FND;P01-C42B-EXC;P01-C42A-GB;P01-C42B-BLI;P01-C42A-FRM;P01-C42B-RBF;P01-C42B-FMF;P01-C42C-REL;P01-C42C-SUR;P01-C42B-HOLD;P01-C42B-FND;P01-C42C-EXC;P01-C42B-GB;P01-C42A-ROOF;P01-C42C-BLI;P01-C42B-FRM;P01-C42C-RBF;P01-C42C-FMF;P01-C42C-HOLD;P01-C42C-FND;P01-C42C-GB;P01-C42B-ROOF;P01-C42C-FRM;P01-C42C-ROOF","NONE","ไม่พบกิจกรรมรายละเอียดที่อ้างอิงซึ่งมี Total Float = 0","SUMMARY_VIEW_NO_INDEPENDENT_CPM_NETWORK"
"19","PHYSICAL_SCOPE","งานโครงสร้าง","D","โซนพื้นที่ศึกษาธรรมชาติ (zone D)","โซนศึกษาธรรมชาติ 3","โซนศึกษาธรรมชาติ 3","CLEAN","","CONFIRMED","AREA_AND_WORK_EXACT","จับคู่โซนย่อยและหมวดงานกับกิจกรรมรายละเอียดใน Baseline","MAPPED_ELAPSED_SPAN","600","802","203","ELAPSED_SPAN_NOT_WORK_EFFORT","DERIVED_FROM_PINNED_BASELINE","v0.8.2","fef660d14ae8ddecda66af3980cee939ac72c84d","1405af254e0ffb590455de45170cbcf25d38790c","6","P01-D53-REL;P01-D53-SUR;P01-D53-CTRL;P01-D53-EW;P01-D53-DRN;P01-D53-BASE","NONE","ไม่พบกิจกรรมรายละเอียดที่อ้างอิงซึ่งมี Total Float = 0","SUMMARY_VIEW_NO_INDEPENDENT_CPM_NETWORK"
"22","PHYSICAL_SCOPE","งานสถาปัตย์","A","โซนพิพิธภัณฑ์มรดกโลกห้วยขาแข้ง (zone A)","โซนทางเข้า-ออก หลัก","โซนทางเข้า–ออกหลัก","CLEAN","","TBC","TIMING_TBC","Baseline ที่ตรึงไว้ไม่มีหมวดงานสถาปัตย์เฉพาะสำหรับโซนทางเข้า–ออกหลัก จึงยกเลิกการใช้ช่วงรวมทั้งโซนและรอทีมยืนยันช่วงเวลา","TBC_TEAM_CONFIRMATION","","","","TBC","NOT_ASSIGNED","v0.8.2","fef660d14ae8ddecda66af3980cee939ac72c84d","1405af254e0ffb590455de45170cbcf25d38790c","0","","NOT_ASSESSED_TBC","ยังไม่ประเมินจนกว่าทีมจะยืนยัน Package และช่วงเวลา","SUMMARY_VIEW_NO_INDEPENDENT_CPM_NETWORK"
"23","PHYSICAL_SCOPE","งานสถาปัตย์","A","โซนพิพิธภัณฑ์มรดกโลกห้วยขาแข้ง (zone A)","โซนอาคารรับรอง อาคารพิพิธภัณฑ์และนิทรรศการ","โซนอาคารรับรอง อาคารพิพิธภัณฑ์และนิทรรศการ","CLEAN","","CONFIRMED","AREA_AND_WORK_EXACT","จับคู่โซนย่อยและหมวดงานกับกิจกรรมรายละเอียดใน Baseline","MAPPED_ELAPSED_SPAN","491","797","307","ELAPSED_SPAN_NOT_WORK_EFFORT","DERIVED_FROM_PINNED_BASELINE","v0.8.2","fef660d14ae8ddecda66af3980cee939ac72c84d","1405af254e0ffb590455de45170cbcf25d38790c","10","P01-A23-EWALL;P01-A23-PART;P01-A23-ENV;P01-A23-WFIN;P01-A23-DRW;P01-A23-FLR;P01-A23-CEIL;P01-A23-PNT;P01-A23-SAN;P01-A23-FURN","NONE","ไม่พบกิจกรรมรายละเอียดที่อ้างอิงซึ่งมี Total Float = 0","SUMMARY_VIEW_NO_INDEPENDENT_CPM_NETWORK"
"24","PHYSICAL_SCOPE","งานสถาปัตย์","A","โซนพิพิธภัณฑ์มรดกโลกห้วยขาแข้ง (zone A)","โซนอาคารร้านอาหารและร้านกาแฟ","โซนอาคารร้านอาหารและร้านกาแฟ","CLEAN","","CONFIRMED","AREA_AND_WORK_EXACT","จับคู่โซนย่อยและหมวดงานกับกิจกรรมรายละเอียดใน Baseline","MAPPED_ELAPSED_SPAN","516","730","215","ELAPSED_SPAN_NOT_WORK_EFFORT","DERIVED_FROM_PINNED_BASELINE","v0.8.2","fef660d14ae8ddecda66af3980cee939ac72c84d","1405af254e0ffb590455de45170cbcf25d38790c","10","P01-A24-EWALL;P01-A24-PART;P01-A24-ENV;P01-A24-WFIN;P01-A24-DRW;P01-A24-FLR;P01-A24-CEIL;P01-A24-PNT;P01-A24-SAN;P01-A24-FURN","NONE","ไม่พบกิจกรรมรายละเอียดที่อ้างอิงซึ่งมี Total Float = 0","SUMMARY_VIEW_NO_INDEPENDENT_CPM_NETWORK"
"25","PHYSICAL_SCOPE","งานสถาปัตย์","A","โซนพิพิธภัณฑ์มรดกโลกห้วยขาแข้ง (zone A)","โซนอาคารประชุม และอเนกประสงค์","โซนอาคารประชุม และอเนกประสงค์","CLEAN","","CONFIRMED","AREA_AND_WORK_EXACT","จับคู่โซนย่อยและหมวดงานกับกิจกรรมรายละเอียดใน Baseline","MAPPED_ELAPSED_SPAN","551","769","219","ELAPSED_SPAN_NOT_WORK_EFFORT","DERIVED_FROM_PINNED_BASELINE","v0.8.2","fef660d14ae8ddecda66af3980cee939ac72c84d","1405af254e0ffb590455de45170cbcf25d38790c","10","P01-A25-EWALL;P01-A25-PART;P01-A25-ENV;P01-A25-WFIN;P01-A25-DRW;P01-A25-FLR;P01-A25-CEIL;P01-A25-PNT;P01-A25-SAN;P01-A25-FURN","NONE","ไม่พบกิจกรรมรายละเอียดที่อ้างอิงซึ่งมี Total Float = 0","SUMMARY_VIEW_NO_INDEPENDENT_CPM_NETWORK"
"26","PHYSICAL_SCOPE","งานสถาปัตย์","A","โซนพิพิธภัณฑ์มรดกโลกห้วยขาแข้ง (zone A)","อาคารผลิตน้ำประปา","อาคารผลิตน้ำประปา","CLEAN","","CONFIRMED","AREA_AND_WORK_EXACT","จับคู่โซนย่อยและหมวดงานกับกิจกรรมรายละเอียดใน Baseline","MAPPED_ELAPSED_SPAN","562","762","201","ELAPSED_SPAN_NOT_WORK_EFFORT","DERIVED_FROM_PINNED_BASELINE","v0.8.2","fef660d14ae8ddecda66af3980cee939ac72c84d","1405af254e0ffb590455de45170cbcf25d38790c","10","P01-A26-EWALL;P01-A26-PART;P01-A26-ENV;P01-A26-WFIN;P01-A26-DRW;P01-A26-FLR;P01-A26-CEIL;P01-A26-PNT;P01-A26-SAN;P01-A26-FURN","NONE","ไม่พบกิจกรรมรายละเอียดที่อ้างอิงซึ่งมี Total Float = 0","SUMMARY_VIEW_NO_INDEPENDENT_CPM_NETWORK"
"28","PHYSICAL_SCOPE","งานสถาปัตย์","B","โซนพักค้างคืน 1 (zone B)","งานห้องน้ำ","งานห้องน้ำ","CLEAN","","CONFIRMED","AREA_AND_WORK_EXACT","จับคู่โซนย่อยและหมวดงานกับกิจกรรมรายละเอียดใน Baseline","MAPPED_ELAPSED_SPAN","622","743","122","ELAPSED_SPAN_NOT_WORK_EFFORT","DERIVED_FROM_PINNED_BASELINE","v0.8.2","fef660d14ae8ddecda66af3980cee939ac72c84d","1405af254e0ffb590455de45170cbcf25d38790c","10","P01-B31-EWALL;P01-B31-PART;P01-B31-ENV;P01-B31-WFIN;P01-B31-DRW;P01-B31-FLR;P01-B31-CEIL;P01-B31-PNT;P01-B31-SAN;P01-B31-FURN","NONE","ไม่พบกิจกรรมรายละเอียดที่อ้างอิงซึ่งมี Total Float = 0","SUMMARY_VIEW_NO_INDEPENDENT_CPM_NETWORK"
"30","PHYSICAL_SCOPE","งานสถาปัตย์","C","โซนพักค้างคืน 2 (zone C)","โซนพื้นที่ต้อนรับ","โซนพื้นที่ต้อนรับ","CLEAN","","CONFIRMED","AREA_AND_WORK_EXACT","จับคู่โซนย่อยและหมวดงานกับกิจกรรมรายละเอียดใน Baseline","MAPPED_ELAPSED_SPAN","652","782","131","ELAPSED_SPAN_NOT_WORK_EFFORT","DERIVED_FROM_PINNED_BASELINE","v0.8.2","fef660d14ae8ddecda66af3980cee939ac72c84d","1405af254e0ffb590455de45170cbcf25d38790c","10","P01-C41-EWALL;P01-C41-PART;P01-C41-ENV;P01-C41-WFIN;P01-C41-DRW;P01-C41-FLR;P01-C41-CEIL;P01-C41-PNT;P01-C41-SAN;P01-C41-FURN","NONE","ไม่พบกิจกรรมรายละเอียดที่อ้างอิงซึ่งมี Total Float = 0","SUMMARY_VIEW_NO_INDEPENDENT_CPM_NETWORK"
"31","PHYSICAL_SCOPE","งานสถาปัตย์","C","โซนพักค้างคืน 2 (zone C)","โซนพื้นที่บ้านเต็นท์","โซนพื้นที่บ้านเต็นท์","CLEAN","","CONFIRMED","AREA_AND_WORK_EXACT","จับคู่โซนย่อยและหมวดงานกับกิจกรรมรายละเอียดใน Baseline","MAPPED_ELAPSED_SPAN","642","863","222","ELAPSED_SPAN_NOT_WORK_EFFORT","DERIVED_FROM_PINNED_BASELINE","v0.8.2","fef660d14ae8ddecda66af3980cee939ac72c84d","1405af254e0ffb590455de45170cbcf25d38790c","30","P01-C42A-EWALL;P01-C42A-PART;P01-C42A-ENV;P01-C42A-WFIN;P01-C42A-DRW;P01-C42B-EWALL;P01-C42B-PART;P01-C42A-FLR;P01-C42A-CEIL;P01-C42B-ENV;P01-C42A-PNT;P01-C42A-SAN;P01-C42A-FURN;P01-C42B-WFIN;P01-C42B-DRW;P01-C42C-EWALL;P01-C42C-PART;P01-C42B-FLR;P01-C42B-CEIL;P01-C42C-ENV;P01-C42B-PNT;P01-C42B-SAN;P01-C42B-FURN;P01-C42C-WFIN;P01-C42C-DRW;P01-C42C-FLR;P01-C42C-CEIL;P01-C42C-PNT;P01-C42C-SAN;P01-C42C-FURN","NONE","ไม่พบกิจกรรมรายละเอียดที่อ้างอิงซึ่งมี Total Float = 0","SUMMARY_VIEW_NO_INDEPENDENT_CPM_NETWORK"
"33","PHYSICAL_SCOPE","งานสถาปัตย์","D","โซนพื้นที่ศึกษาธรรมชาติ (zone D)","โซนศึกษาธรรมชาติ 3","โซนศึกษาธรรมชาติ 3","CLEAN","","TBC","TIMING_TBC","Baseline ที่ตรึงไว้ไม่มีหมวดงานสถาปัตย์เฉพาะสำหรับโซนศึกษาธรรมชาติ 3 จึงยกเลิกการใช้ช่วงรวมทั้งโซนและรอทีมยืนยันช่วงเวลา","TBC_TEAM_CONFIRMATION","","","","TBC","NOT_ASSIGNED","v0.8.2","fef660d14ae8ddecda66af3980cee939ac72c84d","1405af254e0ffb590455de45170cbcf25d38790c","0","","NOT_ASSESSED_TBC","ยังไม่ประเมินจนกว่าทีมจะยืนยัน Package และช่วงเวลา","SUMMARY_VIEW_NO_INDEPENDENT_CPM_NETWORK"
"36","PHYSICAL_SCOPE","งานระบบไฟฟ้าสื่อสาร","A","โซนพิพิธภัณฑ์มรดกโลกห้วยขาแข้ง (zone A)","โซนทางเข้า-ออก หลัก","โซนทางเข้า–ออกหลัก","CLEAN","","CONFIRMED","AREA_AND_WORK_EXACT","จับคู่โซนย่อยและหมวดงานกับกิจกรรมรายละเอียดใน Baseline","MAPPED_ELAPSED_SPAN","188","347","160","ELAPSED_SPAN_NOT_WORK_EFFORT","DERIVED_FROM_PINNED_BASELINE","v0.8.2","fef660d14ae8ddecda66af3980cee939ac72c84d","1405af254e0ffb590455de45170cbcf25d38790c","2","P01-A21-CTRL;P01-A21-ELE","NONE","ไม่พบกิจกรรมรายละเอียดที่อ้างอิงซึ่งมี Total Float = 0","SUMMARY_VIEW_NO_INDEPENDENT_CPM_NETWORK"
"37","PHYSICAL_SCOPE","งานระบบไฟฟ้าสื่อสาร","A","โซนพิพิธภัณฑ์มรดกโลกห้วยขาแข้ง (zone A)","โซนอาคารรับรอง อาคารพิพิธภัณฑ์และนิทรรศการ","โซนอาคารรับรอง อาคารพิพิธภัณฑ์และนิทรรศการ","CLEAN","","CONFIRMED","AREA_AND_WORK_EXACT","จับคู่โซนย่อยและหมวดงานกับกิจกรรมรายละเอียดใน Baseline","MAPPED_ELAPSED_SPAN","511","814","304","ELAPSED_SPAN_NOT_WORK_EFFORT","DERIVED_FROM_PINNED_BASELINE","v0.8.2","fef660d14ae8ddecda66af3980cee939ac72c84d","1405af254e0ffb590455de45170cbcf25d38790c","5","P01-A23-ELE1;P01-A23-ICT1;P01-A23-ELE2;P01-A23-ICT2;P01-A23-ETST","CONTAINS_ZERO_FLOAT_DETAIL","มีอย่างน้อยหนึ่งกิจกรรมรายละเอียดที่อ้างอิงอยู่บนเส้น Total Float = 0; ไม่ได้หมายความว่า Summary bar ทั้งช่วงเป็น Critical Path","SUMMARY_VIEW_NO_INDEPENDENT_CPM_NETWORK"
"38","PHYSICAL_SCOPE","งานระบบไฟฟ้าสื่อสาร","A","โซนพิพิธภัณฑ์มรดกโลกห้วยขาแข้ง (zone A)","โซนอาคารร้านอาหารและร้านกาแฟ","โซนอาคารร้านอาหารและร้านกาแฟ","CLEAN","","CONFIRMED","AREA_AND_WORK_EXACT","จับคู่โซนย่อยและหมวดงานกับกิจกรรมรายละเอียดใน Baseline","MAPPED_ELAPSED_SPAN","530","742","213","ELAPSED_SPAN_NOT_WORK_EFFORT","DERIVED_FROM_PINNED_BASELINE","v0.8.2","fef660d14ae8ddecda66af3980cee939ac72c84d","1405af254e0ffb590455de45170cbcf25d38790c","5","P01-A24-ELE1;P01-A24-ICT1;P01-A24-ELE2;P01-A24-ICT2;P01-A24-ETST","NONE","ไม่พบกิจกรรมรายละเอียดที่อ้างอิงซึ่งมี Total Float = 0","SUMMARY_VIEW_NO_INDEPENDENT_CPM_NETWORK"
"39","PHYSICAL_SCOPE","งานระบบไฟฟ้าสื่อสาร","A","โซนพิพิธภัณฑ์มรดกโลกห้วยขาแข้ง (zone A)","โซนอาคารประชุม และอเนกประสงค์","โซนอาคารประชุม และอเนกประสงค์","CLEAN","","CONFIRMED","AREA_AND_WORK_EXACT","จับคู่โซนย่อยและหมวดงานกับกิจกรรมรายละเอียดใน Baseline","MAPPED_ELAPSED_SPAN","565","781","217","ELAPSED_SPAN_NOT_WORK_EFFORT","DERIVED_FROM_PINNED_BASELINE","v0.8.2","fef660d14ae8ddecda66af3980cee939ac72c84d","1405af254e0ffb590455de45170cbcf25d38790c","5","P01-A25-ELE1;P01-A25-ICT1;P01-A25-ELE2;P01-A25-ICT2;P01-A25-ETST","NONE","ไม่พบกิจกรรมรายละเอียดที่อ้างอิงซึ่งมี Total Float = 0","SUMMARY_VIEW_NO_INDEPENDENT_CPM_NETWORK"
